ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
1723405861,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405861,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405861,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405861,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,5,3,8,8,5.492,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,5,3,8,8,4.429,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,5,3,8,8,4.429,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,5,3,8,8,4.429,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,3,3,8,8,4.429,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405862,580,3,3,8,8,4.429,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.45 | 2.13,0,1.88 | 2.76 | 5.19,0.766,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
