ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253890280,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890281,772,0,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890282,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890283,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890284,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890285,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890286,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890287,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,932,0,1
17253890288,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890289,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890290,772,4,4,8,8,4.726,0,0,0.10 | 0.10 | 0.10,0,1.79 | 1.79 | 1.79,0,2.23 | 2.23 | 2.23,0.932,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890291,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890292,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890293,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890294,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890295,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890296,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890297,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890298,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890299,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890300,772,4,4,8,8,7.005,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890301,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890302,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890303,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890304,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890305,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890306,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890307,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890308,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890309,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890310,772,4,4,8,8,5.942,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890311,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890312,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890313,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890314,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890315,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890316,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890317,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890318,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890319,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890320,772,4,4,8,8,5.145,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890321,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890322,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890323,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890324,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890325,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890326,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890327,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890328,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890329,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890330,772,4,4,8,8,4.083,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890331,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890332,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890333,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890334,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890335,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890336,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890337,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890338,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890339,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890340,772,4,4,8,8,3.02,0,0,0.10 | 0.11 | 0.11,0,0.71 | 1.25 | 1.79,0,2.23 | 3.19 | 5.62,0.952,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,951.5,0,1
17253890341,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890342,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890343,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890344,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890345,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890346,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890347,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890348,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890349,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890350,580,4,3,8,8,6.736,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890351,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890352,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890353,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890354,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890355,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890356,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890357,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890358,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890359,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890360,580,4,3,8,8,5.961,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890361,580,4,3,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890362,580,4,3,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937.6666666666666,0,1
17253890363,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890364,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890365,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890366,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890367,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890368,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890369,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890370,772,4,4,8,8,4.898,0,0,0.10 | 0.17 | 0.30,0,0.71 | 2.48 | 4.95,0,0.81 | 1.61 | 5.62,0.938,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890371,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890372,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890373,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890374,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890375,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890376,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890377,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890378,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890379,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890380,772,4,4,8,8,7.035,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890381,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890382,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890383,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890384,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890385,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890386,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890387,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890388,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890389,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17253890390,772,4,4,8,8,5.973,0,0,0.10 | 0.15 | 0.30,0,0.71 | 2.37 | 4.95,0,0.81 | 1.69 | 5.62,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
